feature,importance
cycle_number,0.18883270162406987
cycle_normalized,0.1525414036698069
vl_mean,0.1500295110783151
vl_q75,0.09738233036019209
vl_q25,0.07747148356662033
vl_max,0.07665782923929579
vl_median,0.07084743712428007
vl_cv,0.06832902802831592
voltage_ratio,0.03908938554381474
vl_trend,0.028282149107632524
vl_min,0.017277525681868623
vo_trend,0.01352992537587237
vo_median,0.005829880368032979
vo_q25,0.0035063847603098186
vo_range,0.0026179233093494847
vo_mean,0.0023683685052503373
vl_range,0.002086609556653869
vl_std,0.0020211982481923695
response_efficiency,0.000758295931168902
signal_attenuation,0.00036783144453715074
vo_std,6.673897503117656e-05
vo_q75,6.212930928205318e-05
vo_max,2.9727528484110334e-05
voltage_ratio_std,1.4201663623453051e-05
vo_cv,0.0
vo_min,0.0
