feature,importance
cycle_normalized,0.4532463428784037
cycle_number,0.4502932340152819
vo_median,0.01944122448683257
vo_max,0.013966016538123134
vo_q75,0.013603941689173308
vo_mean,0.013367669660470784
vo_min,0.012562652222695047
vo_q25,0.010978096792796009
voltage_ratio,0.002323065439962668
vl_cv,0.002176821128278625
vl_max,0.0015616298490144372
vl_min,0.0014833557708868689
vl_mean,0.0013563086269663635
voltage_ratio_std,0.0010144085314568653
vl_q75,0.0010020441169959447
vl_q25,0.0005163549753702372
vo_cv,0.0004325205515149442
vl_median,0.00033222601838808633
response_efficiency,0.00013308356407007582
signal_attenuation,8.197748103892907e-05
vo_range,3.7315296529064654e-05
vl_range,3.203121725683118e-05
vo_trend,3.163091637916369e-05
vo_std,1.8870635173075507e-05
vl_std,5.462525266950001e-06
vl_trend,1.7150716745536742e-06
