feature,importance
vl_q25,0.15437333262965608
vl_mean,0.14339100153072643
vl_median,0.1266772410981006
vl_cv,0.12123184059921968
vl_q75,0.11118361597803944
vo_trend,0.06370798333519478
vl_trend,0.06163953996217491
voltage_ratio,0.06103038125355223
vo_q25,0.029924706645231107
vo_max,0.022297357531239185
vo_q75,0.02020986071671183
vo_cv,0.015558857395579407
vo_mean,0.01454080565679086
vo_min,0.012369019743424381
vl_min,0.008684098065909982
vo_median,0.007836625591586505
vo_std,0.006595240365634869
vl_max,0.005309359611098945
vl_std,0.0038462256958595236
vl_range,0.0037449445860920374
vo_range,0.0035368359936708057
response_efficiency,0.001551513899107068
signal_attenuation,0.0006481730501082751
voltage_ratio_std,0.0001114390652911146
