feature,importance
vl_mean,0.2941386300906197
vl_q25,0.28519508631278884
vl_min,0.08507582708159771
voltage_ratio_std,0.0784625006701727
voltage_ratio,0.07833769731339847
vl_cv,0.06340170240225883
vl_median,0.05430433252741002
vl_max,0.021012435986590042
vl_q75,0.009149874622383754
vo_range,0.006793950132271553
vo_max,0.005096277094641587
vo_q25,0.003994142719439572
vo_median,0.003461338870717573
vo_min,0.0024245052055629737
vo_q75,0.002386961858280656
vo_mean,0.002159214121038565
response_efficiency,0.00189424404687556
vl_range,0.00158206710699747
vo_cv,0.000589499115465456
vl_trend,0.0002488208580603314
signal_attenuation,0.00015078397521859965
vo_trend,5.571650773728526e-05
vl_std,4.9473518329021894e-05
vo_std,3.4917862143688076e-05
