feature,correlation,abs_correlation,p_value
cycle_normalized,-1.0,1.0,0.0
cycle_number,-1.0,1.0,0.0
vo_cv,-0.749495333651065,0.749495333651065,2.5570801720388e-37
vo_max,0.6946336606084984,0.6946336606084984,3.844206372217338e-30
vo_mean,0.6897556174191465,0.6897556174191465,1.3971969127601343e-29
vo_q75,0.689741882904209,0.689741882904209,1.4022323115344127e-29
vo_q25,0.6896943600277223,0.6896943600277223,1.4197935741321578e-29
vo_median,0.689560530629265,0.689560530629265,1.4704197490472384e-29
vo_min,0.6875132895906106,0.6875132895906106,2.5071748904010494e-29
vl_cv,0.686952898220899,0.686952898220899,2.8992562531567034e-29
vl_max,0.48703066002809603,0.48703066002809603,2.615166774093549e-13
vl_q25,0.4679252661545154,0.4679252661545154,2.8211962821128316e-12
vl_mean,0.4666643733067297,0.4666643733067297,3.2837988159104922e-12
vl_median,0.4648369897537795,0.4648369897537795,4.087605028056554e-12
vl_q75,0.46412426703512577,0.46412426703512577,4.450456799737713e-12
response_efficiency,0.46238010838361254,0.46238010838361254,5.475617791041408e-12
vl_min,0.4238427715758244,0.4238427715758244,4.006321869622118e-10
signal_attenuation,-0.4051546737476326,0.4051546737476326,2.664979859913913e-09
vo_range,0.3957425988511486,0.3957425988511486,6.627480842539417e-09
vl_std,-0.3646342425077888,0.3646342425077888,1.1066261432371944e-07
vl_trend,-0.3054273725973237,0.3054273725973237,1.0931870305266648e-05
voltage_ratio,0.2475101636547265,0.2475101636547265,0.00041006147920430366
vo_std,0.2466395309366283,0.2466395309366283,0.0004304195418790886
voltage_ratio_std,0.20511110392019016,0.20511110392019016,0.003573229754327245
vo_trend,0.06361890233155364,0.06361890233155364,0.37080058537591476
vl_range,0.057852744773699144,0.057852744773699144,0.41580829990987606
voltage_ratio_mean_last_5,,,
voltage_ratio_std_last_5,,,
voltage_ratio_trend_last_10,,,
degradation_rate,,,
